country,2021 Average NO2 (molec/cm^2),Uncertainty (%),Change since 2005 (%)
Ukraine,1935000000000000.0,17.73,-30.3445
Ukraine,1926000000000000.0,8.33,-10.8881
United Kingdom,4780000000000000.0,10.66,-58.9777
United States,4875000000000000.0,6.79,-45.2101
United States,3885000000000000.0,6.81,-27.1591
United States,5975000000000000.0,5.72,-50.7316
United States,3323000000000000.0,6.09,-44.9294
United States,5080000000000000.0,5.28,-54.9549
United States,3307000000000000.0,5.89,-50.5776
United States,1555000000000000.0,5.27,-38.0915
Uruguay,1275000000000000.0,12.09,-5.54061
USA,6732000000000000.0,4.52,-64.0967
USA,2535000000000000.0,5.67,-47.4397
USA,6972000000000000.0,5.23,-56.7551
USA,3102000000000000.0,8.12,-39.6307
USA,2569000000000000.0,8.83,-40.2864
USA,2069000000000000.0,5.79,-22.0306
USA,4430000000000000.0,4.92,-54.3779
USA,1866000000000000.0,5.67,-45.0839
USA,4283000000000000.0,5.13,-50.603
USA,2381000000000000.0,7.65,-48.8178
USA,1128000000000000.0,5.92,-21.5487
USA,2365000000000000.0,6.06,-52.2601
USA,2385000000000000.0,5.93,-18.9408
USA,2157000000000000.0,5.54,-51.4539
USA,2450000000000000.0,5.96,-47.013
USA,1735000000000000.0,6.23,-49.8235
USA,3325000000000000.0,7.06,-38.1442
USA,2352000000000000.0,6.8,-38.2412
USA,2786000000000000.0,6.24,-46.8277
USA,2710000000000000.0,5.62,-53.1885
USA,2368000000000000.0,6.02,-47.0267
USA,3882000000000000.0,7.68,-41.477
USA,3511000000000000.0,5.56,-32.7293
USA,2623000000000000.0,5.78,-46.7902
USA,583700000000000.0,7.4,-24.6543
USA,2424000000000000.0,8.58,-46.9292
USA,3552000000000000.0,6.09,-52.5434
USA,2350000000000000.0,6.44,-50.056
USA,1239000000000000.0,5.36,-35.9518
USA,2032000000000000.0,4.82,-40.4067
USA,2631000000000000.0,6.4,-43.5509
USA,3913000000000000.0,6.32,-48.2424
USA,2268000000000000.0,4.37,-36.6676
USA,4353000000000000.0,7.54,-49.3337
USA,2065000000000000.0,6.85,-35.5892
USA,2375000000000000.0,6.05,-16.1197
USA,2356000000000000.0,5.65,-50.244
Uzbekistan,7722000000000000.0,11.86,47.1036
Venezuela,1206000000000000.0,7.92,-47.2442
Vietnam,3388000000000000.0,15.19,86.7942
Vietnam,1729000000000000.0,8.57,29.3532
Western Sahara,555900000000000.0,9.62,37.6455
Yemen,1328000000000000.0,9.12,-7.85255
Zimbabwe,1223000000000000.0,16.73,18.6364
