"Density
(P/Km2)",Birth Rate,Co2-Emissions,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Urban_population,Life Expectancy at Birth (2021)
18,11.98,34382,1.71,38.60,1.40 ,206928765544 ,100.00,82.00,4.7,9.0,11.49 ,12.60,3.59,4841000,69.90,4258860,82.4513
55,20.64,5592,2.4,25.90,0.91 ,12520915291 ,120.60,17.40,15.7,98.0,0.54 ,36.00,0.98,6545502,66.40,3846137,73.8368
19,46.08,2017,6.91,0.90,0.88 ,12928145120 ,74.70,4.40,48.0,509.0,0.29 ,52.30,0.04,23310715,72.00,3850231,61.5763
226,37.91,120369,5.39,7.20,0.46 ,448120428859 ,84.70,10.20,75.7,917.0,0.54 ,72.20,0.38,200963599,52.90,102806948,52.676
16,19.19,63457,2.89,0.00,0.45 ,76983094928 ,103.40,38.00,9.8,19.0,4.33 ,6.40,2.0,5266535,72.40,4250777,72.5406
287,28.25,201150,3.51,1.90,0.79 ,304400000000 ,94.30,9.00,57.2,140.0,0.69 ,66.50,0.98,216565318,52.60,79927762,66.0979
20,27.07,7536,3.56,74.10,1.36 ,24969611435 ,108.50,1.80,38.0,145.0,1.16 ,5.80,0.07,8776109,47.20,1162834,65.3506
18,20.57,7407,2.43,37.70,1.04 ,38145288940 ,104.40,34.60,17.2,129.0,1.55 ,36.50,1.35,7044636,72.10,4359150,70.2617
26,17.95,57414,2.25,57.70,0.99 ,226848050820 ,106.90,70.70,11.1,88.0,1.28 ,30.90,1.27,32510453,77.60,25390339,72.3769
368,20.55,122287,2.58,27.80,0.86 ,376795508680 ,107.50,35.50,22.5,121.0,1.12 ,53.50,0.6,108116615,59.60,50975903,69.2664
124,10.2,299037,1.46,30.90,1.07 ,592164400688 ,100.00,67.80,3.8,2.0,2.93 ,23.20,2.38,37970874,56.70,22796574,76.4572
111,8.5,48742,1.38,34.60,1.54 ,237686075635 ,106.20,63.90,3.1,8.0,3.78 ,27.70,5.12,10269417,58.80,6753579,81.0443
84,9.6,69259,1.71,30.10,1.16 ,250077444017 ,85.20,49.40,6.1,19.0,2.25 ,21.30,2.98,19356544,54.70,10468793,74.1847
16,17.8,563449,2.32,0.50,0.24 ,792966838162 ,99.80,68.00,6.0,17.0,3.85 ,15.00,2.61,34268528,55.90,28807838,76.936
87,34.52,10902,4.63,42.80,1.14 ,23578084052 ,81.00,12.80,31.8,315.0,0.31 ,44.20,0.07,16296364,45.70,7765706,67.0926
100,9.2,45221,1.49,31.10,1.16 ,51409167351 ,100.30,67.20,4.8,12.0,1.57 ,40.60,3.11,6944975,54.90,3907243,74.1923
111,33.41,1093,4.26,43.10,1.08 ,3941474311 ,112.80,2.00,78.5,1120.0,0.57 ,38.20,0.03,7813215,57.90,3319366,60.0624
114,10.6,32424,1.52,40.40,1.32 ,105422304976 ,98.70,46.60,4.6,5.0,3.11 ,18.40,3.42,5454073,59.50,2930419,74.9101
103,9.4,12633,1.6,62.00,1.32 ,53742159517 ,100.40,78.60,1.7,7.0,5.25 ,12.50,3.09,2087946,58.40,1144654,80.6904
527,6.4,620302,0.98,63.40,1.22 ,2029000000000 ,98.10,94.30,2.7,11.0,6.49 ,36.80,2.36,51709098,63.00,42106719,83.6978
94,7.9,244002,1.26,36.90,1.26 ,1394116310769 ,102.70,88.90,2.5,4.0,5.60 ,24.20,3.87,47076781,57.50,37927409,83.01
341,15.83,23362,2.2,32.90,0.88 ,84008783756 ,100.20,19.60,6.4,36.0,0.35 ,38.40,1.0,21803000,53.90,4052088,76.3991
25,32.18,20000,4.41,8.10,0.95 ,18902284476 ,76.80,16.90,42.1,295.0,0.41 ,63.20,0.26,42813238,48.40,14957233,65.2667
68,30.76,5310,3.59,3.00,0.71 ,8116626794 ,100.90,31.30,30.4,17.0,0.23 ,63.10,1.7,9321018,42.00,2545477,71.5942
67,36.7,11973,4.89,51.60,0.87 ,63177068175 ,94.20,4.00,37.6,524.0,0.09 ,26.10,0.01,58005463,83.40,20011885,66.2007
137,10.34,283763,1.53,32.20,0.71 ,543649976166 ,99.80,49.30,7.8,37.0,1.06 ,11.80,0.81,69625582,67.30,35294600,78.7154
152,33.11,3000,4.32,3.10,0.71 ,5459979417 ,123.80,14.50,47.4,396.0,0.34 ,51.00,0.08,8082366,77.60,3414638,61.6194
273,12.94,43868,1.73,46.00,0.54 ,24100202834 ,106.20,12.00,16.4,67.0,2.25 ,37.30,4.17,1394973,60.00,741944,72.9709
76,17.56,29937,2.2,6.80,0.73 ,38797709924 ,115.40,31.70,14.6,43.0,0.47 ,39.80,1.3,11694719,46.10,8099061,73.7719
110,16.03,372725,2.07,15.40,1.42 ,754411708203 ,93.20,23.90,9.1,17.0,3.45 ,16.90,1.85,83429615,52.80,63097818,76.0324
229,38.14,5680,4.96,9.70,0.94 ,34387229486 ,102.70,4.80,33.8,375.0,0.01 ,40.50,0.17,44269594,70.30,10784516,62.7048
75,8.7,202250,1.3,16.70,0.83 ,153781069118 ,99.00,82.70,7.5,19.0,0.84 ,47.80,2.99,44385155,54.20,30835699,71.624
281,11.0,379025,1.68,13.10,1.46 ,2827113184696 ,101.20,60.00,3.6,7.0,10.13 ,14.80,2.81,66834405,62.80,55908316,80.7422
20,13.86,6766,1.97,10.70,1.50 ,56045912952 ,108.50,63.10,6.4,17.0,1.66 ,16.20,5.05,3461734,64.00,3303394,75.4356
25,36.19,5141,4.63,65.20,1.40 ,23064722446 ,98.70,4.10,40.4,213.0,0.24 ,27.50,1.19,17861030,74.60,7871713,61.2234
